lane_1,lane_2,lane_3,lane_4
63.295673,59.35235,63.1577,59.900173
63.9418,60.18229,67.20445,58.946312
64.55305,64.45873,64.887215,58.129597
61.738037,61.936398,66.61884,56.032658
66.92537,63.175648,67.84514,57.70995
66.89265,65.34247,67.857086,56.53819
66.62807,65.538536,67.16817,55.893013
66.36523,64.77223,67.12816,55.69024
64.55315,65.129074,66.5068,57.83569
64.77471,63.455925,67.31401,57.8243
67.620964,65.03718,68.004616,54.584846
64.48914,64.004036,62.187172,52.481594
66.973946,67.46166,66.919106,55.9914
67.04245,64.10929,66.74689,56.089977
67.4649,65.42703,67.3945,55.245155
65.38459,65.138054,66.8651,53.75922
67.518524,66.02668,67.37658,55.390095
67.04216,64.745316,66.83172,55.47253
67.5951,64.851875,65.75485,54.340145
67.47706,65.41396,66.13745,53.10639
68.234566,65.607574,65.64755,54.41526
68.16077,65.7308,64.28666,52.231194
68.23893,65.42408,63.61827,53.048756
68.54208,66.7083,61.81492,53.494766
67.92891,66.63882,63.415604,52.77362
68.535164,65.63202,63.285454,47.669697
67.78779,66.93807,58.48977,51.41915
69.056305,64.28808,39.666553,50.877262
68.89625,65.03765,28.19478,51.451515
69.086266,66.52702,21.451862,51.00068
68.93968,66.08804,18.140873,51.098003
68.50402,66.55946,19.761616,51.209846
68.530136,67.20394,25.086098,51.91332
67.69817,65.82361,20.650888,49.778896
68.88321,66.55083,21.688162,51.147636
67.187294,65.73768,21.696276,50.064217
68.10314,66.91934,22.676138,50.5395
67.6201,66.500015,24.514267,48.798134
67.986496,66.014595,21.868778,50.25273
67.83574,66.68662,21.162687,50.02376
67.455055,67.0004,28.595404,52.378098
67.55399,64.38362,20.281496,46.305244
68.51886,67.5279,25.582552,50.989807
66.96165,64.772964,24.10632,50.638706
68.454704,66.20687,27.31437,51.5296
67.55959,66.11973,31.593933,49.01952
68.356445,66.5712,43.334248,49.877113
68.4961,68.10308,63.45516,50.99331
67.15434,65.67841,67.851555,55.12283
66.77217,65.20569,67.37951,50.989674
66.811134,65.56018,66.61682,49.7842
65.45326,62.1841,61.198166,50.433563
68.002266,65.193924,66.87539,51.501465
65.79515,65.260704,66.676834,53.10249
66.64835,66.117744,65.98301,52.524548
65.42187,66.80573,66.71141,51.920475
66.59963,65.392136,63.15864,48.854717
65.59994,64.710106,62.806442,43.58235
67.775215,66.28025,60.445927,50.218044
67.6756,66.55713,59.74597,50.557
67.27803,65.28731,61.886177,51.542507
66.515785,64.89983,65.82911,52.441193
66.15673,66.52729,65.68303,50.51497
64.07401,65.93274,65.5261,50.025055
67.523415,66.44548,65.70933,50.206074
66.17037,65.98093,66.62303,50.616215
65.352066,66.174644,66.31336,51.217716
